key,market,retail_series,currency,n,months_missing,first,last,peak_lag,peak_r,band_lo,band_hi,p_max_surrogate,eg_p,cointegrated_5pct,theta,theta_se_hac,n_eff,slope_12m_lag5,slope_p_hac,episode_start,episode_green_delta,episode_retail_pct,cost_share_break_even,asym_correction_p_boot,asym_shortrun_p_boot,note
us,United States,BLS CUSR0000SEFP01,USD,186,1,2011-01,2026-07,5,0.3187911069528347,3,9,0.003,0.00589717955565484,True,0.28783600316694224,0.045684003180934143,9.761417628895723,0.18135405995433815,2.4141834699619983e-13,2019-05,5.267857142857143,54.977751177496145,0.2898600982985277,0.059850374064837904,0.29177057356608477,
us_sefp02,United States (second basket),BLS CUSR0000SEFP02,USD,186,1,2011-01,2026-07,9,0.1618186511971276,9,9,0.265,0.35036431821923614,False,0.21858067903841896,0.04422018053444712,8.060408448983535,0.027534857987577464,0.0902533083057283,2019-05,5.267857142857143,26.147198705274334,0.13785630413424863,0.4488778054862843,0.3192019950124688,
eu_usd,Euro area (green in USD),"Eurostat HICP CP01211, DE/FR/IT/ES",USD,121,0,2015-12,2025-12,11,0.3084130105314568,10,11,0.079,0.09553235913533237,False,0.2977665958319198,0.040808754937052834,6.626427463774632,0.17169781894607422,2.5133480637807892e-05,2019-05,5.722619047619047,48.653896194879806,0.23613384610496072,0.6309226932668329,0.16209476309226933,
eu_eur,Euro area (green in EUR),"Eurostat HICP CP01211, DE/FR/IT/ES",EUR,72,0,2020-01,2025-12,6,0.38178539585582894,5,6,0.388,0.6646002853821603,False,0.31296470861249925,0.03864530968609986,6.043306793875949,0.14669899496661076,1.5350021002681218e-07,2020-06,4.497641297134814,48.87441114563498,0.2998111525878586,0.6159600997506235,0.3316708229426434,
br_usd,Brazil (green in USD),"IPCA café moído, BCB SGS 1635",USD,187,0,2011-01,2026-07,1,0.15557543962242573,1,1,0.78,0.14930724614348517,False,0.46148031868210493,0.18085975889636052,7.895794034792335,0.01626996670682674,0.6374001635300068,2019-05,5.267857142857143,64.91369514301657,0.34224553846024336,0.8528678304239401,0.6807980049875312,
br_brl,Brazil (green in BRL),"IPCA café moído, BCB SGS 1635",BRL,79,0,2020-01,2026-07,7,0.263780737372894,7,7,0.791,0.475612623408841,False,0.3200382509700541,0.05578231322605419,6.078482804689501,0.06997160238263242,0.007380957936654585,2020-01,28.150125903830226,59.30697418641058,0.27558253232887636,0.1371571072319202,0.770573566084788,
