lag,elasticity,se_hac,p,n
0,0.6554292143217452,0.930011898705176,0.4809636016075275,114
1,-1.4069215336637133,1.0229390059205394,0.16901618529378448,115
2,0.8178692681866762,0.9003525525860093,0.3636733728188817,116
3,1.2418197222791598,0.9004309442012087,0.16785180190953441,117
4,-1.8688877193569495,1.0224601076914264,0.06757441433731551,118
5,1.6743475914199515,1.083724468665577,0.12234776161110861,119
6,0.6912934687138427,0.6600861689409339,0.29497155721480695,119
7,-0.8278121488195723,1.1636712977041337,0.4768489696130783,119
8,-0.07980244546671407,0.6087774583297945,0.8957069594821002,118
9,0.3267647320949464,0.8387168314427456,0.6968317749521146,117
10,-0.09316356233099521,1.1423542019876114,0.9350013766746821,116
11,0.7560936818299617,0.7076868847660712,0.2853394708880843,115
12,-0.9414225399953015,0.9917781213777482,0.3425051879362665,114
