sample,n,first,last,eg_p,theta,cum_passthrough,slope_12m_lag5,slope_p_hac,note
full,186,2011-01,2026-07,0.00589717955565484,0.28783600316694224,0.07652348663285743,0.18135405995433815,2.4141834699619983e-13,
pre-2020,108,2011-01,2019-12,0.2073171837587653,0.12330203681487768,0.03291306671311063,0.1113493247123909,4.741228617909635e-13,
2020→,78,2020-01,2026-07,0.01323026492957642,0.336398403639775,-0.19488478034791598,0.16429289033179262,5.9996746383013565e-12,
