market,spec,n,first,last,eg_p,cointegrated_5pct,theta,theta_se_hac,n_eff,cum_passthrough_12m,gamma,gamma_p,slope_12m_lag5,slope_p_hac,slope_n_eff
US CUSR0000SEFP01 (headline),"blend 70/30, nominal",186,2011-01,2026-07,0.00589717955565484,True,0.28783600316694224,0.045684003180934143,9.761417628895723,0.268117837768612,0.0010132467645560753,0.968589720877472,0.18135405995433815,2.4141834699619983e-13,17.8068798392719
US CUSR0000SEFP01,arabica only,186,2011-01,2026-07,0.020158023530137983,True,0.27306582677279856,0.05036973178865263,10.30715493244058,0.26617728915742433,0.010170290519206166,0.6819380167023477,0.1700355879492138,1.3126810376042685e-10,17.67666940499508
US CUSR0000SEFP01,robusta only,186,2011-01,2026-07,0.0011989705367095537,True,0.2719379325996655,0.05159217588108011,8.853669597830951,0.16299090897244536,0.00485443587582965,0.8057559224326035,0.11069063508011605,0.01604046350151503,17.733355025392786
US CUSR0000SEFP01,blend 50/50,186,2011-01,2026-07,0.0013095514477409044,True,0.29527553671549606,0.04384050738470109,9.396576642857758,0.26207531427198616,-0.004913677903115346,0.8449708713842841,0.18507696062915763,2.1618067865056168e-13,17.912117632520836
US CUSR0000SEFP01,blend 90/10,186,2011-01,2026-07,0.012761437089640537,True,0.2781424668462643,0.04880309221932301,10.12875307189928,0.268025566139631,0.007496881794730764,0.7671099710391115,0.17399801447586638,2.0163881966151314e-11,17.714835394255267
US CUSR0000SEFP01,"real, CPI-deflated (2017→)",114,2017-01,2026-07,0.2790082257307186,False,0.0857998570266702,0.045841006832911736,10.263737221487633,0.16122643182592253,-0.04936387879371897,0.3483904063597306,0.15424455182520957,1.459178417723195e-13,8.880999705026145
US CUSR0000SEFP02,"blend 70/30, nominal",186,2011-01,2026-07,0.35036431821923614,False,0.21858067903841896,0.04422018053444712,8.060408448983535,0.06357751676652314,0.005968492932920244,0.5385791115656533,0.027534857987577464,0.0902533083057283,22.388376080262365
EU HICP basket,"blend 70/30, nominal",121,2015-12,2025-12,0.09553235913533237,False,0.2977665958319198,0.040808754937052834,6.626427463774632,0.253186408842892,0.012724593330223938,0.21476035872403365,0.17169781894607422,2.5133480637807892e-05,11.056020611220795
Brazil IPCA café moído,"blend 70/30, green in BRL",79,2020-01,2026-07,0.475612623408841,False,0.3200382509700541,0.05578231322605419,6.078482804689501,0.004745112408732068,-0.024819374944995396,0.017297339703602817,0.06997160238263242,0.007380957936654585,8.30355177902321
