lag,spec,var,coef,se_hac,t,p,n,r2
0,oni + lagged Δ + month dummies,oni,-0.011811054056335864,0.0075559832792590955,-1.5631392526710304,0.11801984474323965,793,0.0376670446012376
0,oni + lagged Δ + month dummies,d3_lag3,0.05723731506379289,0.06300636517909987,0.9084370269748452,0.36364737050452967,793,0.0376670446012376
0,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.0007087440887170156,0.010752906845295862,0.065911859826729,0.9474479983409512,195,0.06539170213204037
0,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.20613032200435172,0.05717882809657927,3.6050113104133987,0.0003121393340379103,195,0.06539170213204037
0,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,0.00018315588794914109,0.026982772372560623,0.006787882483691571,0.9945840949557024,195,0.06539170213204037
0,"oni alone, 2010-08→ sample",oni,0.0001896700965545394,0.009827716967317195,0.01929950742225294,0.9846021768763462,192,0.06553779446747798
0,"oni alone, 2010-08→ sample",d3_lag3,0.19605359725165689,0.07546756630110789,2.597852386936966,0.009380881114961097,192,0.06553779446747798
0,… + Δlog cert stocks rob & ara (2010-08→),oni,0.003404891350848805,0.010449734423906792,0.32583520429563556,0.7445490418119651,178,0.12431917080812016
0,… + Δlog cert stocks rob & ara (2010-08→),d3_lag3,0.22709787147538288,0.06694115672375033,3.3924999595175787,0.0006925794224713989,178,0.12431917080812016
0,… + Δlog cert stocks rob & ara (2010-08→),dlog_rob_stocks_12,-0.0033444357191035547,0.0258844961748241,-0.12920613546098053,0.8971945415113344,178,0.12431917080812016
0,… + Δlog cert stocks rob & ara (2010-08→),dlog_ara_stocks_12,0.05153905224713654,0.01936182911555781,2.661889635505737,0.007770335116453643,178,0.12431917080812016
0,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_pos,-0.02507176487747523,0.013807576487162411,-1.815797645646627,0.06940141858991612,793,0.04306918602837584
0,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,oni_neg,0.0055441388723423204,0.01207030983264529,0.45932034464829347,0.646004140145068,793,0.04306918602837584
0,ONI⁺ / ONI⁻ (asymmetry) + lagged Δ + month dummies,d3_lag3,0.05320572364191021,0.0621906735544677,0.8555257661795813,0.39226014639131124,793,0.04306918602837584
1,oni + lagged Δ + month dummies,oni,-0.012275612397196939,0.008008366845168601,-1.5328484114838896,0.12531320928567302,794,0.038079776080502725
1,oni + lagged Δ + month dummies,d3_lag3,0.05707900532674069,0.06236157983826493,0.9152912013258063,0.36003877695796516,794,0.038079776080502725
1,"… + Δlog cert robusta stocks (1993→, same sample)",oni,0.002144477105327519,0.011439587762997723,0.18746104752690515,0.851299161829552,195,0.06569301223676494
1,"… + Δlog cert robusta stocks (1993→, same sample)",d3_lag3,0.20747955969343082,0.058634418418702525,3.5385284835920094,0.000402363868800798,195,0.06569301223676494
1,"… + Δlog cert robusta stocks (1993→, same sample)",dlog_rob_stocks_12,-0.00019682254225754663,0.026833210287307598,-0.007335035210104765,0.994147541132681,195,0.06569301223676494
1,"oni alone, 2010-08→ sample",oni,0.0017966119245385345,0.010751390734697669,0.1671050721596768,0.8672873751266655,193,0.06610399960460955
1,"oni alone, 2010-08→ sample",d3_lag3,0.1996507638465111,0.07661718755357158,2.6058221428046164,0.009165404049285801,193,0.06610399960460955
