regime,lag,n,r,p_bartlett
el_nino,0,137,-0.16597899653265488,0.264241676573584
el_nino,1,137,-0.15885684972557151,0.3117976616941611
el_nino,2,137,-0.17323507002962338,0.2717847325589855
el_nino,3,137,-0.17184672395975434,0.26002507777967154
el_nino,4,137,-0.12708756458607046,0.3972028021559153
el_nino,5,137,-0.08624989594141243,0.5671556708737733
el_nino,6,137,-0.10493914008484151,0.47561931600301466
el_nino,7,137,-0.13517582124078542,0.3720323170210409
el_nino,8,137,-0.13953003183110965,0.3560002324488285
el_nino,9,137,-0.09895111604455815,0.4924367122017672
el_nino,10,137,-0.08041182692587502,0.5618351983416212
el_nino,11,137,-0.10134025810440658,0.45505167792084356
el_nino,12,137,-0.1310672262871863,0.30679392891676693
el_nino,13,137,-0.16548817929691545,0.18968440975370338
el_nino,14,137,-0.15780153123599544,0.22347775831479422
el_nino,15,137,-0.12282816294629087,0.3631060353075961
el_nino,16,137,-0.03811205885988543,0.7819335272757162
el_nino,17,137,0.022468472296806232,0.867672299011873
el_nino,18,137,0.05348063368741216,0.6914362981503928
el_nino,19,137,0.03184729966135828,0.819373061209725
el_nino,20,137,0.04051332980377031,0.7757676804549918
el_nino,21,137,0.07767836600070276,0.5760872604120304
el_nino,22,137,0.13337018565906178,0.32122548049682753
el_nino,23,137,0.15392010752858862,0.2577150563008186
el_nino,24,137,0.13520375840948587,0.3337902888953854
la_nina,0,134,-0.05502858548650173,0.667269060843436
la_nina,1,134,-0.036714504645751295,0.7818157683386897
la_nina,2,134,-0.038069303461105784,0.7742002302849353
la_nina,3,134,-0.039855217193596755,0.7773025526243253
la_nina,4,134,-0.025247029488244782,0.8593643491028096
la_nina,5,134,-0.008271951287742123,0.9540884041416686
la_nina,6,134,0.03600089623478864,0.806423084832852
la_nina,7,134,0.0759347423777947,0.6023554241240097
la_nina,8,134,0.1177785470782711,0.40121767714020695
la_nina,9,134,0.09383426675301554,0.5004319916406976
la_nina,10,134,-0.004084035733189304,0.9771657374382345
la_nina,11,134,-0.10173189854181118,0.4885217185334203
la_nina,12,134,-0.22324556682096436,0.11482525473607352
la_nina,13,134,-0.28321215687668655,0.0403574040911685
la_nina,14,134,-0.31803497323746505,0.02553834705291913
la_nina,15,134,-0.27372399609689124,0.06778413929393667
la_nina,16,134,-0.21226656411726252,0.15295141235661225
la_nina,17,134,-0.15121625276009287,0.30783872971966897
la_nina,18,134,-0.1034367146625905,0.4840477884149279
la_nina,19,134,-0.060959998509605685,0.6781311752911741
la_nina,20,134,-0.06455339832129392,0.6500915542208721
la_nina,21,134,-0.05773079490351591,0.6833892884025139
la_nina,22,134,-0.11066140924715748,0.40639806851218596
la_nina,23,134,-0.11378678750200374,0.36975716015119686
la_nina,24,134,-0.10129957447737059,0.44797527476281096
neutral,0,287,-0.08800174591102125,0.3408879175509596
neutral,1,287,-0.1463097808312449,0.10978874450372245
neutral,2,287,-0.1662871613085379,0.06360601493257834
neutral,3,286,-0.1646883068460203,0.0520607222893652
neutral,4,285,-0.11845139778517494,0.1538759005553143
neutral,5,284,-0.09863761850496428,0.2627813971195603
neutral,6,283,-0.1270840506529555,0.17935133454818963
neutral,7,282,-0.1755747075078486,0.06508924964451124
neutral,8,281,-0.17180762780473902,0.06826016739989216
neutral,9,280,-0.09343817349105173,0.32424122106013087
neutral,10,279,0.001370308521578386,0.9884568552476469
neutral,11,278,0.07679775464678999,0.42586255360099123
neutral,12,277,0.11562054313083531,0.2196256104948935
neutral,13,276,0.11441478970294196,0.22095428319524624
neutral,14,275,0.0907919043753368,0.3312577491714306
neutral,15,274,0.05106946809680799,0.5932503404842233
neutral,16,273,0.04268569908762585,0.6561068082192016
neutral,17,272,0.05626630126375213,0.5564143355371551
neutral,18,271,0.09535358376331193,0.31060784224772453
neutral,19,270,0.13713949205526144,0.1363017447819932
neutral,20,269,0.1249173069966412,0.19231528227252603
neutral,21,268,0.09588820356147834,0.3342340001651416
neutral,22,267,0.028003912036192954,0.7788520004354593
neutral,23,266,0.0050346450477182034,0.9601223482601207
neutral,24,265,-0.00938594439911743,0.9246509050959357
