tier,arbitrage,transform,index,lag,n,n_eff,pearson,spearman,p_bartlett,ci_lo,ci_hi,p_surrogate,sur_q95_abs,q_bh_bartlett,q_bh_surrogate
tier1,ICO indicator premium (1960→),level,ONI,-24,775,115.2,-0.06498769649158301,-0.056631285344883715,0.49062707044781395,-0.24503828381461984,0.11939617014464958,0.413,0.15356684746465915,0.902625161780653,0.7985185185185185
tier1,ICO indicator premium (1960→),level,ONI,-23,776,115.2,-0.0568802413011448,-0.05157058328029524,0.5463889546650804,-0.23735621296900214,0.12739129551371897,0.4855,0.15358135660926606,0.902625161780653,0.8036
tier1,ICO indicator premium (1960→),level,ONI,-22,777,115.2,-0.047799545475494115,-0.044825616528107064,0.6123253805235525,-0.22873367950958143,0.1363267398775401,0.564,0.15093600731462029,0.902625161780653,0.8128235294117646
tier1,ICO indicator premium (1960→),level,ONI,-21,778,115.3,-0.03635153452001945,-0.035539589829039035,0.6999950234217309,-0.21780848337701303,0.14753453704704378,0.656,0.1490428221185571,0.902625161780653,0.8458947368421053
tier1,ICO indicator premium (1960→),level,ONI,-20,779,115.3,-0.023007286112768092,-0.023398433467356053,0.8073089047125821,-0.20498719809697413,0.16051016492722178,0.7785,0.1494734806253772,0.9418603888313458,0.9047906976744186
tier1,ICO indicator premium (1960→),level,ONI,-19,780,115.5,-0.009595574401927848,-0.01031018543910891,0.9189468915280217,-0.19200810454623812,0.1734578309070529,0.905,0.14891161145784085,0.9614402644282531,0.9435106382978723
tier1,ICO indicator premium (1960→),level,ONI,-18,781,115.6,0.001525996894634808,0.0016915032053667419,0.9870806363110669,-0.1811619779621746,0.1841121683003816,0.9835,0.15054415428534412,0.9870806363110669,0.9835000000000002
tier1,ICO indicator premium (1960→),level,ONI,-17,782,115.8,0.011090267759771285,0.011423673105029059,0.9062252034689362,-0.1717205880953338,0.19316275749770134,0.894,0.1506905925547214,0.9614402644282531,0.9435106382978723
tier1,ICO indicator premium (1960→),level,ONI,-16,783,116.0,0.019644850719353527,0.01936406884628813,0.8345393707696733,-0.16323505495962795,0.20121958433676765,0.794,0.1496975723961151,0.9509867248305579,0.9047906976744186
tier1,ICO indicator premium (1960→),level,ONI,-15,784,116.2,0.02783628009335592,0.02671668389078277,0.7670407719606596,-0.15510900883761203,0.20893563584356395,0.71,0.15056144088723394,0.939624945651808,0.86975
tier1,ICO indicator premium (1960→),level,ONI,-14,785,116.4,0.036298133457818106,0.035584424524375144,0.6990014209645046,-0.14669372283180135,0.21688777695139966,0.6355,0.15005334165273584,0.902625161780653,0.8458947368421053
tier1,ICO indicator premium (1960→),level,ONI,-13,786,116.6,0.04530281025304964,0.045875174266928186,0.6289964919032047,-0.13769606371527607,0.22531088146191786,0.559,0.14905929517336142,0.902625161780653,0.8128235294117646
