h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,14,0.010314092184195418,0.018105869547643927,-0.020795712298023128,0.03963368074094653,-0.1141259669984711,0.07070654027423995,0.6428571428571429,-0.017630342629119212,0.03426944058248162,-0.02340076748723399,0.026226757181092193,0.012549627988602638,0.4135
2,14,0.024264539362229227,0.03219323624245396,-0.02847204532365155,0.07795893198619952,-0.10022687913808248,0.1450461975126398,0.7142857142857143,-0.013775862251749168,0.061974873461540764,-0.03709182792988843,0.04110932458985857,0.019525138167039772,0.22
3,14,0.022184791706696214,0.00341695000887432,-0.03870283319207091,0.09989387742247535,-0.10824163106641915,0.1799454346410183,0.5714285714285714,-0.021544878950255093,0.06761226259025294,-0.04156257209652734,0.0577448396732796,0.02534019625666661,0.3935
4,14,0.0317800646943864,-0.0011185723148150473,-0.009873514371900649,0.059960605550555046,-0.0946272390285019,0.2250889051861762,0.5,-0.01026291884014533,0.07885731971238745,-0.041916292635408164,0.07277994955535451,0.02907734589237203,0.3405
5,14,0.03518579272053054,0.007676571842043511,-0.01745171126952294,0.04347010794109529,-0.09789771616235132,0.2793443133321425,0.5,-0.013093701045989026,0.09240156023291161,-0.03894196301098261,0.08493060369399501,0.03136661597961401,0.384
6,14,0.03619907632342256,-0.00029866393885003006,-0.030251805816652322,0.09034696421141364,-0.14288784405485,0.3937546645098857,0.5,-0.024152840984290398,0.10650238535197834,-0.03940809282727712,0.09209749024376376,0.03376822182733183,0.426
7,14,0.017622254096414318,-0.0031276140851894674,-0.1142388661466085,0.11825608969459989,-0.2143733969595889,0.4089484405999606,0.5,-0.06651349002453183,0.10734905670288289,-0.04380974460630958,0.10104019548731966,0.03699546026121913,0.7145
8,14,0.018103708937994765,0.018497133226706097,-0.05945810947829133,0.12343918221090067,-0.2582922020386018,0.3808038660984643,0.6428571428571429,-0.06724527869502493,0.10465689403057156,-0.04804303814656814,0.10731297268598121,0.040289696952675154,0.732
9,14,0.016417189187668706,-0.005690247993334285,-0.03454195796437243,0.14361438483722666,-0.3358709500203876,0.42752482617289633,0.5,-0.08335815467615842,0.11634332949197582,-0.054498517863215,0.1115365679416475,0.04310651884893938,0.766
10,14,0.01724797547322941,0.026232518481183575,-0.054414211335459095,0.15100906942975967,-0.4129969297299274,0.3998159570366884,0.6428571428571429,-0.09995286126652485,0.1226685810409392,-0.06130980075091254,0.11184563790283018,0.04513543825363355,0.7505
11,14,0.03675671539191759,0.05276669784522792,-0.06226458085159936,0.12509097914089984,-0.3597024180224757,0.44789212899733055,0.5714285714285714,-0.07376082530140453,0.1429919129596322,-0.06749079038821257,0.11298802511732305,0.04775346134469665,0.4965
12,14,0.031424080458766025,0.02552541115629392,-0.0639509256469577,0.13259256082178128,-0.38719451029374774,0.49027922551696523,0.5714285714285714,-0.07837002910172568,0.14524216885608926,-0.07535153502540878,0.11611862368280276,0.04921859727752274,0.564
13,14,0.04180903275552244,0.0035076743533490884,-0.046266278531201355,0.1462805134192373,-0.34438427605804556,0.5217253067349947,0.5,-0.06282391442641713,0.15672403444822072,-0.08255228040207489,0.11658027551376741,0.051139137669295565,0.449
14,14,0.03926384898259906,0.028548427967491463,-0.05935572215160678,0.08676487690825141,-0.3735110307539946,0.5245865390160276,0.5714285714285714,-0.07670966408301809,0.15843242434357652,-0.0883841884398718,0.1150080143300827,0.0530254018962051,0.4775
15,14,0.06607901192669001,0.05210602919914553,-0.02548858864788839,0.16168476748748573,-0.38502230163173845,0.5451731726244153,0.7142857142857143,-0.06100344165283985,0.19529107457182399,-0.09658304788893919,0.11812708452407834,0.05408241929292559,0.241
16,14,0.07480338963479514,0.05376331590194017,0.004927207307808823,0.1571376009722376,-0.4220615657944373,0.6007965474469339,0.7142857142857143,-0.06167317213169858,0.20747970867271118,-0.09661348825875939,0.12596004360335217,0.055682354349006966,0.1945
17,14,0.08202524642286806,0.08074632611151955,0.020729633467858832,0.17872043561854034,-0.4251550968428752,0.5625893735630463,0.7857142857142857,-0.06400343601107054,0.22670022606763737,-0.0974032155661509,0.12646912750786937,0.05632121846554409,0.158
18,14,0.08597991513458725,0.07460873577257487,-0.030780369533226715,0.271847880899198,-0.5154816795310868,0.6406505945274938,0.6428571428571429,-0.08127733430784972,0.25488388171130427,-0.0958979351838379,0.12823351351753443,0.05659432592268416,0.152
19,14,0.10069301745275228,0.09796785478134273,-0.034446508693298794,0.289231343097925,-0.5370807913345486,0.7217435066307898,0.6428571428571429,-0.083264708453988,0.27339374720263987,-0.09580439684341945,0.13068036901149468,0.05739894550592073,0.1005
20,14,0.09843905489955418,0.09343731442589043,-0.09809806180622682,0.30746586915151597,-0.5061747871038129,0.8172655732883287,0.6428571428571429,-0.08007558619143691,0.28908854779226867,-0.0961872417469382,0.1382165247522612,0.05895372184929874,0.121
21,14,0.11268037731694631,0.1396421313365721,-0.1959398647003583,0.3270570135238049,-0.48918054446154446,0.8869863351386069,0.6428571428571429,-0.08016719506902266,0.30345164975617317,-0.0898692179160241,0.14031416515501138,0.05948498061633072,0.0775
22,14,0.0980666782780882,0.1430938796901673,-0.22291990124847572,0.3080577252375467,-0.4588579203779988,0.7506841505209563,0.6428571428571429,-0.09648914480215573,0.28890995535346975,-0.09145600585506816,0.14351267363689774,0.061295199143890394,0.138
23,14,0.07208912161109415,0.15602563498512723,-0.2965492708555115,0.2621025752730026,-0.5076480845474309,0.7062070365158641,0.6428571428571429,-0.11721859023817328,0.26644932538651916,-0.09313785956226078,0.1423569030280333,0.06208442079255227,0.284
24,14,0.07828208333796415,0.15984152560031317,-0.29421722748419477,0.3103153136506813,-0.5164776371973376,0.7792027261347858,0.6428571428571429,-0.12189010468796158,0.28322576877272,-0.09740025158945022,0.14204327369039937,0.06234658682641191,0.2365
