event,arbitrage,n_events,direction,peak_lag_months,mean_change_log,ci_lo,ci_hi,consistency,p_placebo_at_peak,p_placebo_family,pct_change_in_premium_ratio,usd_t_at_sample_median_price,ccf_best_lag,ccf_r,ccf_p_bartlett,ccf_q_bh,ccf_p_max_surrogate,ccf_n_eff
el_nino,ICO indicator premium (1960→),12,premium narrows,12.0,-0.12031978206847826,-0.2449617001600793,-0.012376859490610868,0.8333333333333334,0.032,0.1875,-11.33631391910097,-344.6239431406695,4.0,-0.1667742567237786,0.06830994402940749,0.3133983362374502,0.23,127.7
la_nina,ICO indicator premium (1960→),9,premium widens,21.0,0.16680106065932923,-0.05582972022151992,0.4010882165438969,0.7777777777777778,0.0525,0.119,18.151919127749782,551.8183414835934,13.0,-0.11855529114693304,0.1752275067901703,0.9999267517768875,0.84,132.5
el_nino,VN–BR physical premium B1,1,premium narrows,13.0,-0.3382647970661753,,,1.0,0.313,0.351,-28.699353912003968,-872.4603589249206,14.0,0.6921934226479788,0.05729132289604899,0.399978769115383,0.6,8.0
la_nina,VN–BR physical premium B1,0,,,,,,,,,,,,,,,,
