,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,pre_level,pre_trend
1964-05,0.0,-0.03366294513673118,0.012121360532344916,0.04110889740559731,0.06881084118667768,0.09445327180001595,0.05914893027494106,0.07825497106725443,0.2658535849620529,0.2793756102940277,0.3285446341004974,0.36124558778323923,0.4663956878695368,0.26796140900958676,0.1021691541668428,0.029590128033396113,0.042329153810825915,0.014539156681147247,0.0978634424556315,0.05914893027494106,0.026961676679704283,0.03784543272937846,0.04367959290869816,0.017011345826536406,0.0039392642591842275,0.25092055814318925,-0.06049645776627521
1970-07,0.0,-0.025105921131076236,-0.04220035449037596,-0.0772916743016463,-0.13955535214614123,-0.18931686170520567,-0.1799250704919011,-0.2001277778094206,-0.18067002875548166,-0.20067069546215066,-0.17081773231246977,-0.1799250704919011,-0.18997540634540222,-0.16997473963873322,-0.209936148907941,-0.23098955810577326,-0.2103842779766092,-0.17081773231246977,-0.18997540634540222,-0.1799250704919011,-0.1813998416430067,-0.20172343795331393,-0.17245305565320024,-0.14401512033266695,-0.07660509686307204,0.2668498503906447,-0.02413647293845944
1973-05,0.0,-0.01636955988540656,-0.033782431515370526,-0.037039994058973846,-0.09312946071001704,-0.10067666634540107,-0.11069822480641989,-0.10629465864962295,-0.06474465711933686,-0.0674018774605285,-0.14765687526959237,-0.18833299659827674,-0.18257947539230823,-0.12674890665517502,-0.12665215274866082,-0.16792889335456795,-0.274629973468838,-0.2504750314337949,-0.21998525531062096,-0.21948481741702963,-0.2583056105489838,-0.25724572703694104,-0.27386573957608285,-0.3111691001060519,-0.218459702001784,0.2364546312392699,-0.002387637052075675
1974-10,0.0,0.03048977612317394,0.030990214016765272,-0.007830579115188918,-0.006770695603146137,-0.02339070814228794,-0.06069406867225702,0.03201532943201091,0.08831328143771344,0.08439814635334209,0.04661412885316363,0.025296379183266104,0.06222217588380552,0.05289455944879151,0.08866236509666248,0.1314314882183183,0.15254185103414564,0.15709766757000576,0.09362809362133984,0.07693340117427017,0.107087246995345,0.05358850011317173,0.11376890150917696,0.11783601438543645,0.09876688507594888,0.09326121661533282,-0.12382287868513409
1983-10,0.0,0.03561184079662372,0.020389632486018883,0.001639083140643649,-0.006321010831363161,-0.004157612228538277,0.011295488148122423,-0.05262402956516521,-0.05216667326711555,-0.0320664003456157,-0.04222125606874716,-0.07070028362079928,-0.06375655085010568,-0.047531279478024935,0.024692612590371255,0.07033353522310559,0.08653934206223113,0.10768847876743592,0.06749114709153758,0.08823389870581178,0.08938328283436014,0.164682289428133,0.14690417147495172,0.17276768206487159,0.158224005214894,0.07467382638569624,0.011373010062555089
1984-10,0.0,0.01622527137208074,0.08844916344047693,0.13409008607321127,0.1502958929123368,0.1714450296175416,0.13124769794164326,0.15199044955591745,0.15313983368446582,0.2284388402782387,0.2106607223250574,0.23652423291497726,0.22198055606499967,0.1967758026058375,0.23962807287857935,0.32123212748116536,0.3295208574506354,0.3368688985636492,0.3479417662083275,0.3814591173479265,0.33241234253707663,0.2992166081603296,0.23760797180577597,0.18456323770996086,0.16491470053685298,0.028760768374516726,-0.03169015050448998
1988-05,0.0,0.04015929640068894,0.11889491902319271,0.09293064269106033,0.03789436202467478,-0.036609745612560474,-0.011892816025822484,-0.00971850822955389,0.019073079816073424,-0.01411130646127745,0.008167909090862402,0.06473055713119447,0.04240108073310456,0.009178731951814179,-0.09282144919968349,-0.11277203739038377,-0.12037663677560317,-0.14427109633775093,-0.10318423623523021,-0.043080312165524326,0.04174978848710431,0.12900915059889773,0.13928358790538287,0.13928358790538287,0.16145904598573235,0.32283365038755346,0.09550454956100207
1995-08,0.0,-0.010538492417874856,-0.04266190685436033,-0.04033103929945003,-0.03125254350410511,0.045337514875267715,0.08358841164282005,0.12161526251026444,0.1439210200245622,0.1856205924861758,0.213429754303454,0.2931947227723164,0.29927146004372496,0.30491439621350036,0.3681600616802081,0.40613930974542445,0.4549219720675275,0.5193966555295537,0.6406505945274938,0.7217435066307898,0.8172655732883287,0.8869863351386069,0.7506841505209563,0.7062070365158641,0.7792027261347858,0.19028417812492857,-0.028888595545377704
1998-07,0.0,0.019986467723207113,-0.08212528305945099,-0.10824163106641915,-0.048103272327885804,-0.08455738802806323,-0.10207375945039399,-0.1347771450070896,-0.06188858821534993,-0.03536714383729134,0.06959329179919482,0.06606843795575923,0.008649741579483283,-0.05219864972089194,-0.07048027413722657,0.05669605069036976,0.16595736008227835,0.20166589496005738,0.31805465109769404,0.3261847771809441,0.35667494393873245,0.33633714864496334,0.3315409763814703,0.2879490211273499,0.3418508939253444,0.45182615386483516,-0.102974091497269
2000-10,0.0,0.03805683376171931,0.03104192206817835,-0.03381821486993353,0.000844951465563959,0.03786788713857803,0.0925998150676115,0.10817857124760621,0.04200472676930467,0.017595761890379258,0.09187857450262804,0.1151741371061501,0.1405838526315195,0.16841865162496283,0.09145761048883383,0.1921351782422791,0.1306783236421154,0.049071893992397086,0.04755394943117164,0.030268313144145687,-0.031194402279052902,-0.06269306933842422,-0.07125420164045781,-0.11271215733959661,-0.06159777897700902,0.7105028909816052,-0.015008438325428308
