h,n,mean,median,q25,q75,min,max,consistency,ci_lo,ci_hi,placebo_q025,placebo_q975,placebo_sd,p_placebo
0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,12,-0.004161973176354102,-0.0032444752950389066,-0.02834113804495142,0.03416562813998114,-0.13630218461765065,0.08855339734144518,0.5,-0.03687392468536204,0.026394890221083312,-0.025925099095098228,0.028512556991160672,0.013856375440965789,0.781
2,12,-0.004988392683939506,-0.009863868688853472,-0.059203147957577196,0.05087687689192788,-0.18077929862274278,0.16318008654665306,0.5,-0.05687878540399068,0.04848037547102161,-0.03850636019518316,0.04352704277349167,0.021436288970338942,0.8125
3,12,0.01655666089358084,-0.006357577455995411,-0.06860358968506564,0.07509118902276812,-0.11088539158979671,0.24653048401236344,0.5,-0.04115716189786236,0.08023178407113046,-0.046270233750145454,0.0628364030989898,0.027387575793544453,0.559
4,12,-0.005377963725806456,-0.04060959788332674,-0.08929891819241309,0.06867300773149765,-0.1697187598173615,0.2735219325546838,0.5833333333333334,-0.06936767461252487,0.06854096444833849,-0.04789385414706815,0.07553161638752508,0.03150645754373031,0.885
5,12,-0.034068498818493165,-0.03953949620383845,-0.17508007792454294,0.04673321757143367,-0.23691343704793333,0.29927442865709786,0.5,-0.120675999916753,0.054592539795841714,-0.04434909464380106,0.08905082908510335,0.034032195259704474,0.4365
6,12,-0.060657454913729016,-0.07460973211769684,-0.1956267558448994,0.028248025684374678,-0.3080459373319666,0.30252858056877585,0.5833333333333334,-0.15313628263712428,0.04203689767176101,-0.04653477283654781,0.09739900718184621,0.03655868671339504,0.194
7,12,-0.0767496531488286,-0.13635365469013294,-0.20881447489036953,0.024550937810473572,-0.2858491419534346,0.23563738258018763,0.5833333333333334,-0.16360120410149565,0.01741872674583166,-0.050215008039794104,0.10703314535108424,0.039878340678991625,0.1255
8,12,-0.07454452298299567,-0.11764334508408947,-0.18339402050453457,0.024292455767005894,-0.29422393268052804,0.2199926813484696,0.6666666666666666,-0.16366467435938103,0.015495628747788748,-0.053251162499036005,0.11252779502815805,0.043211467390257816,0.166
9,12,-0.08935639142314662,-0.12774571625619702,-0.19898776127118256,0.030019429009525034,-0.2916761606017291,0.181785507464582,0.6666666666666666,-0.16585304833423706,-0.0036075027494483006,-0.059131872088635636,0.1192257698574798,0.046703572920237274,0.1135
10,12,-0.10643616770699953,-0.12140110653515501,-0.1859098834327777,-0.051809815668723225,-0.39684456635335685,0.21836672220477027,0.8333333333333334,-0.19199528485549217,-0.014417055273991945,-0.07063832922593467,0.12443367202547617,0.04939653774674383,0.0525
11,12,-0.11471303568408524,-0.12626760276766413,-0.19400660421682425,-0.01810182601346666,-0.5265462987154601,0.2296365174798538,0.8333333333333334,-0.21758279945558012,-0.016127853182641285,-0.07687846169409736,0.12383164792124572,0.05212453000439263,0.0415
12,12,-0.12031978206847826,-0.09860708878619695,-0.1930068057120884,-0.03749314792253999,-0.6318396800038206,0.1911533904327687,0.8333333333333334,-0.2449617001600793,-0.012376859490610868,-0.08714847781162322,0.12316652113669362,0.054173667326500675,0.032
13,12,-0.11063325746146391,-0.08676706028129111,-0.22904521525691446,-0.0033452957922663895,-0.6377856042722296,0.2629810678965834,0.75,-0.24250032606714825,0.007821643650192982,-0.09642036464837786,0.12707977200839513,0.05639758510874162,0.0605
14,12,-0.09863263494201495,-0.07489949249954941,-0.22758954155312328,0.0020427538245220145,-0.6295203902127291,0.3318604428014984,0.75,-0.24192138288219217,0.03237396326487659,-0.10120582650240585,0.12579260883918642,0.05795661107863976,0.102
15,12,-0.0883915038809308,-0.062012586256734004,-0.23438121013503155,0.04063418447118572,-0.609533922489522,0.3076844665960854,0.5833333333333334,-0.23241132067479714,0.04710394922783609,-0.10519863510674324,0.1229315253605056,0.05890673615712513,0.151
